Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived,class_level_Freshman,class_level_Sophomore,class_level_Junior,class_level_Senior,class_level_Graduate,class_level_Extension,class_level_Visitor,reason_taking_class_Major,reason_taking_class_Minor,reason_taking_class_Gen_Ed,reason_taking_class_Elective,reason_taking_class_Interest,grade_expect_class_A,grade_expect_class_B,grade_expect_class_C,grade_expect_class_D,grade_expect_class_F,grade_expect_class_P,grade_expect_class_NP,learned_great_deal_course_Strongly_Disagree,learned_great_deal_course_Disagree,learned_great_deal_course_Neither_Agree_nor_Disagree,learned_great_deal_course_Agree,learned_great_deal_course_Strongly_Agree,learned_great_deal_course_Not_Applicable,many_hours_week_spend_studying_outside_class_average_01,many_hours_week_spend_studying_outside_class_average_23,many_hours_week_spend_studying_outside_class_average_45,many_hours_week_spend_studying_outside_class_average_67,many_hours_week_spend_studying_outside_class_average_89,many_hours_week_spend_studying_outside_class_average_1011,many_hours_week_spend_studying_outside_class_average_1213,many_hours_week_spend_studying_outside_class_average_1415,many_hours_week_spend_studying_outside_class_average_1617,many_hours_week_spend_studying_outside_class_average_1819,many_hours_week_spend_studying_outside_class_average_20_or_more,often_attend_course_Very_Rarely,often_attend_course_Some_of_the_Time,often_attend_course_Most_of_the_Time,course_material_intellectually_stimulating_Strongly_Disagree,course_material_intellectually_stimulating_Disagree,course_material_intellectually_stimulating_Neither_Agree_nor_Disagree,course_material_intellectually_stimulating_Agree,course_material_intellectually_stimulating_Strongly_Agree,course_material_intellectually_stimulating_Not_Applicable,assignments_promote_learning_Strongly_Disagree,assignments_promote_learning_Disagree,assignments_promote_learning_Neither_Agree_nor_Disagree,assignments_promote_learning_Agree,assignments_promote_learning_Strongly_Agree,assignments_promote_learning_Not_Applicable,required_reading_useful_Strongly_Disagree,required_reading_useful_Disagree,required_reading_useful_Neither_Agree_nor_Disagree,required_reading_useful_Agree,required_reading_useful_Strongly_Agree,required_reading_useful_Not_Applicable,course_difficult_relative_others_Strongly_Disagree,course_difficult_relative_others_Disagree,course_difficult_relative_others_Neither_Agree_nor_Disagree,course_difficult_relative_others_Agree,course_difficult_relative_others_Strongly_Agree,course_difficult_relative_others_Not_Applicable,exams_representative_course_material_Strongly_Disagree,exams_representative_course_material_Disagree,exams_representative_course_material_Neither_Agree_nor_Disagree,exams_representative_course_material_Agree,exams_representative_course_material_Strongly_Agree,exams_representative_course_material_Not_Applicable,recommend_course_overall_Yes,recommend_course_overall_No,instructor_displays_proficient_command_material_Strongly_Disagree,instructor_displays_proficient_command_material_Disagree,instructor_displays_proficient_command_material_Neither_Agree_nor_Disagree,instructor_displays_proficient_command_material_Agree,instructor_displays_proficient_command_material_Strongly_Agree,instructor_displays_proficient_command_material_Not_Applicable,instructor_well_prepared_classes_Strongly_Disagree,instructor_well_prepared_classes_Disagree,instructor_well_prepared_classes_Neither_Agree_nor_Disagree,instructor_well_prepared_classes_Agree,instructor_well_prepared_classes_Strongly_Agree,instructor_well_prepared_classes_Not_Applicable,instructors_speech_clear_audible_Strongly_Disagree,instructors_speech_clear_audible_Disagree,instructors_speech_clear_audible_Neither_Agree_nor_Disagree,instructors_speech_clear_audible_Agree,instructors_speech_clear_audible_Strongly_Agree,instructors_speech_clear_audible_Not_Applicable,instructor_explains_course_material_well_Strongly_Disagree,instructor_explains_course_material_well_Disagree,instructor_explains_course_material_well_Neither_Agree_nor_Disagree,instructor_explains_course_material_well_Agree,instructor_explains_course_material_well_Strongly_Agree,instructor_explains_course_material_well_Not_Applicable,lectures_hold_attention_Strongly_Disagree,lectures_hold_attention_Disagree,lectures_hold_attention_Neither_Agree_nor_Disagree,lectures_hold_attention_Agree,lectures_hold_attention_Strongly_Agree,lectures_hold_attention_Not_Applicable,instructor’s_lecture_style_facilitates_notetaking_Strongly_Disagree,instructor’s_lecture_style_facilitates_notetaking_Disagree,instructor’s_lecture_style_facilitates_notetaking_Neither_Agree_nor_Disagree,instructor’s_lecture_style_facilitates_notetaking_Agree,instructor’s_lecture_style_facilitates_notetaking_Strongly_Agree,instructor’s_lecture_style_facilitates_notetaking_Not_Applicable,instructor_shows_concern_students_learning_Strongly_Disagree,instructor_shows_concern_students_learning_Disagree,instructor_shows_concern_students_learning_Neither_Agree_nor_Disagree,instructor_shows_concern_students_learning_Agree,instructor_shows_concern_students_learning_Strongly_Agree,instructor_shows_concern_students_learning_Not_Applicable,instructor_promotes_appropriate_questionsdiscussion_Strongly_Disagree,instructor_promotes_appropriate_questionsdiscussion_Disagree,instructor_promotes_appropriate_questionsdiscussion_Neither_Agree_nor_Disagree,instructor_promotes_appropriate_questionsdiscussion_Agree,instructor_promotes_appropriate_questionsdiscussion_Strongly_Agree,instructor_promotes_appropriate_questionsdiscussion_Not_Applicable,instructor_accessible_outside_class_Strongly_Disagree,instructor_accessible_outside_class_Disagree,instructor_accessible_outside_class_Neither_Agree_nor_Disagree,instructor_accessible_outside_class_Agree,instructor_accessible_outside_class_Strongly_Agree,instructor_accessible_outside_class_Not_Applicable,instructor_starts_finishes_class_time_Strongly_Disagree,instructor_starts_finishes_class_time_Disagree,instructor_starts_finishes_class_time_Neither_Agree_nor_Disagree,instructor_starts_finishes_class_time_Agree,instructor_starts_finishes_class_time_Strongly_Agree,instructor_starts_finishes_class_time_Not_Applicable,instructor_effective_promoting_academic_integrity_Strongly_Disagree,instructor_effective_promoting_academic_integrity_Disagree,instructor_effective_promoting_academic_integrity_Neither_Agree_nor_Disagree,instructor_effective_promoting_academic_integrity_Agree,instructor_effective_promoting_academic_integrity_Strongly_Agree,instructor_effective_promoting_academic_integrity_Not_Applicable,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Neither_Agree_nor_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Not_Applicable,recommend_professor_overall_Yes,recommend_professor_overall_No,size_lecture_appropriate_educational_goals_course_Strongly_Disagree,size_lecture_appropriate_educational_goals_course_Disagree,size_lecture_appropriate_educational_goals_course_Neither_Agree_nor_Disagree,size_lecture_appropriate_educational_goals_course_Agree,size_lecture_appropriate_educational_goals_course_Strongly_Agree,size_lecture_appropriate_educational_goals_course_Not_Applicable,size_discussion_section_appropriate_educational_goals_course_Strongly_Disagree,size_discussion_section_appropriate_educational_goals_course_Disagree,size_discussion_section_appropriate_educational_goals_course_Neither_Agree_nor_Disagree,size_discussion_section_appropriate_educational_goals_course_Agree,size_discussion_section_appropriate_educational_goals_course_Strongly_Agree,size_discussion_section_appropriate_educational_goals_course_Not_Applicable,sufficient_number_lectures_course_offered_allow_flexibility_schedule_Strongly_Disagree,sufficient_number_lectures_course_offered_allow_flexibility_schedule_Disagree,sufficient_number_lectures_course_offered_allow_flexibility_schedule_Neither_Agree_nor_Disagree,sufficient_number_lectures_course_offered_allow_flexibility_schedule_Agree,sufficient_number_lectures_course_offered_allow_flexibility_schedule_Strongly_Agree,sufficient_number_lectures_course_offered_allow_flexibility_schedule_Not_Applicable,instructor_responsive_questions_outside_class_Strongly_Disagree,instructor_responsive_questions_outside_class_Disagree,instructor_responsive_questions_outside_class_Neither_Agree_nor_Disagree,instructor_responsive_questions_outside_class_Agree,instructor_responsive_questions_outside_class_Strongly_Agree,instructor_responsive_questions_outside_class_Not_Applicable,prerequisites_class_good_preparation_success_please_answer_completed_prerequisites_ucsd_Strongly_Disagree,prerequisites_class_good_preparation_success_please_answer_completed_prerequisites_ucsd_Disagree,prerequisites_class_good_preparation_success_please_answer_completed_prerequisites_ucsd_Neither_Agree_nor_Disagree,prerequisites_class_good_preparation_success_please_answer_completed_prerequisites_ucsd_Agree,prerequisites_class_good_preparation_success_please_answer_completed_prerequisites_ucsd_Strongly_Agree,prerequisites_class_good_preparation_success_please_answer_completed_prerequisites_ucsd_Not_Applicable
"Um,KoWoon",MATH2-IntrotoCollegeMathematics(A),S319,10,5,66.7%,100.0%,7.83,C+(2.67),N/A,100,0,0,0,0,0,0,0,0,100,0,0,0,67,33,0,0,0,0,0,0,0,100,0,0,0,0,0,33,67,0,0,0,0,0,0,0,0,100,0,0,33,67,0,0,0,0,33,67,0,0,0,33,33,0,0,33,0,33,33,33,0,0,0,33,0,67,0,0,67,33,0,0,0,67,33,0,0,33,0,33,33,0,0,0,33,67,0,0,0,33,0,67,0,0,0,33,0,33,0,33,0,0,33,33,33,0,0,0,33,67,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,50,0,50,0,0,0,50,0,50,100,0,0,0,0,50,50,0,0,0,0,50,50,0,0,0,50,50,0,0,0,0,0,50,50,0,0,0,0,0,0,100
"Jones,MilesE",MATH3C-Precalculus(A),S319,23,17,100.0%,100.0%,8.85,B(3.18),N/A,82,18,0,0,0,0,0,18,0,76,0,6,29,59,12,0,0,0,0,0,0,0,53,47,0,0,12,18,18,18,18,0,6,0,0,12,0,0,100,0,0,0,62,38,0,0,0,0,50,50,0,0,7,13,40,20,20,0,12,69,19,0,0,0,0,0,50,50,0,100,0,0,0,0,20,80,0,0,0,0,13,87,0,0,0,0,7,93,0,0,0,0,20,80,0,0,0,13,40,47,0,0,0,7,13,80,0,0,0,0,27,73,0,0,0,0,27,73,0,0,0,0,27,73,0,0,13,13,20,53,0,0,0,0,40,60,0,0,0,20,40,40,0,100,0,0,0,0,60,40,0,0,0,7,60,33,0,0,7,29,29,29,7,0,0,13,20,60,7,0,0,20,20,13,47
"Jones,MilesE",MATH3C-Precalculus(B),S319,22,14,91.7%,90.9%,11.58,B(3.07),N/A,86,14,0,0,0,0,0,36,0,57,0,7,29,50,21,0,0,0,0,8,0,8,38,46,0,0,8,15,15,0,0,15,15,15,8,8,0,0,100,0,8,8,54,31,0,0,0,15,15,69,0,0,0,42,17,25,17,0,0,58,25,17,0,0,0,0,8,83,8,92,8,0,0,0,27,73,0,0,0,0,18,82,0,0,0,0,27,73,0,0,9,9,36,45,0,0,18,9,36,36,0,9,9,9,18,55,0,0,0,0,36,64,0,0,0,18,18,64,0,0,0,0,36,64,0,0,0,18,36,45,0,0,0,9,18,73,0,0,0,18,18,27,36,91,9,0,0,0,45,55,0,0,0,0,45,55,0,0,0,27,18,45,9,0,0,0,45,55,0,0,0,9,9,27,55
"Harel,Guershon",MATH102-AppliedLinearAlgebra(A),S219,25,10,88.9%,77.8%,11.83,B+(3.56),C+(2.41),0,20,20,60,0,0,0,89,0,0,0,11,78,0,22,0,0,0,0,0,0,0,33,67,0,0,0,0,11,11,22,22,22,11,0,0,0,11,89,0,0,0,22,78,0,0,0,11,11,78,0,0,0,11,11,33,44,0,0,22,33,44,0,0,0,11,22,67,0,89,11,0,0,11,11,78,0,0,0,11,33,56,0,0,11,11,22,56,0,0,12,12,25,50,0,0,11,11,22,56,0,0,11,22,22,44,0,0,0,11,33,56,0,0,0,22,33,44,0,0,0,22,22,56,0,0,0,11,33,56,0,0,0,0,44,56,0,0,0,22,11,67,0,78,22,0,0,11,22,67,0,0,0,11,33,56,0,11,0,44,0,44,0,0,0,11,22,67,0,0,0,0,22,56,22
"Stapleton,DavidJohn",MATH103B-ModernAlgebraII(A),S219,35,10,75.0%,87.5%,9.75,B(3.29),B-(2.89),0,0,0,100,0,0,0,100,0,0,0,0,57,14,29,0,0,0,0,0,0,12,50,38,0,0,0,25,25,0,12,25,0,0,0,12,12,12,75,0,0,14,43,43,0,0,0,12,25,62,0,0,0,62,25,12,0,0,12,38,12,38,0,0,0,12,62,25,0,75,25,0,0,0,38,62,0,0,0,0,38,62,0,0,0,0,25,75,0,0,0,12,38,50,0,0,12,25,38,25,0,12,0,0,38,50,0,0,12,12,25,50,0,0,0,0,57,43,0,0,12,25,12,50,0,0,0,0,62,38,0,0,0,0,38,50,12,0,0,0,25,62,12,88,12,0,0,0,75,25,0,0,0,12,62,25,0,0,0,38,38,25,0,0,0,0,62,38,0,0,0,0,50,38,12
"Pelayo,Alvaro",MATH103B-ModernAlgebraII(B),S219,27,10,90.0%,100.0%,9.10,B(3.10),C+(2.67),0,0,0,100,0,0,0,90,10,0,0,0,20,70,10,0,0,0,0,0,10,0,40,50,0,0,30,10,10,0,20,10,0,0,10,10,0,0,100,0,0,10,40,50,0,0,0,20,50,30,0,0,0,20,50,20,10,0,0,10,30,60,0,0,10,20,20,50,0,90,10,0,0,0,40,60,0,0,0,0,20,80,0,0,0,0,30,70,0,0,0,0,50,50,0,0,0,20,40,40,0,10,0,0,30,60,0,0,0,0,20,80,0,0,0,0,40,60,0,0,0,0,60,40,0,0,0,0,30,70,0,0,0,0,40,60,0,0,0,10,20,50,20,100,0,0,0,0,30,70,0,0,0,0,40,60,0,0,0,10,50,40,0,0,0,0,50,50,0,0,0,0,50,50,0
"Popescu,CristianD.",MATH105-BasicNumberTheory(A),S219,19,5,60.0%,60.0%,7.70,B-(2.80),N/A,0,0,40,60,0,0,0,80,0,0,20,0,40,20,20,20,0,0,0,40,0,0,40,20,0,0,0,80,0,0,0,0,0,0,0,20,20,20,60,20,0,0,0,80,0,40,0,0,20,40,0,20,20,0,20,20,20,0,20,20,20,40,0,0,20,0,40,40,0,60,40,0,0,0,40,60,0,0,0,0,40,60,0,0,0,0,60,40,0,20,20,20,40,0,0,0,20,40,40,0,0,20,0,40,20,20,0,0,0,20,20,60,0,0,0,0,40,60,0,0,0,0,20,80,0,0,0,0,60,40,0,0,0,0,40,60,0,0,40,0,20,20,20,60,40,0,0,0,40,60,0,0,0,20,40,20,20,40,0,0,40,0,20,0,0,0,40,40,20,40,0,0,40,0,20
"Pelayo,Alvaro",MATH109-MathematicalReasoning(A),S219,25,12,83.3%,100.0%,8.67,A-(3.75),B-(2.93),0,17,67,17,0,0,0,67,8,0,17,8,75,25,0,0,0,0,0,0,0,0,42,58,0,0,25,17,17,8,8,0,8,0,0,17,0,0,100,0,0,8,33,58,0,0,0,8,25,67,0,8,8,8,8,50,17,0,17,33,17,33,0,0,0,0,50,50,0,83,17,0,0,0,25,75,0,0,0,0,25,75,0,0,0,0,25,75,0,0,0,0,25,75,0,0,0,8,33,58,0,8,8,0,8,75,0,0,0,0,25,75,0,0,0,0,33,67,0,0,0,0,33,58,8,0,0,0,17,83,0,0,0,0,25,75,0,0,0,8,25,58,8,100,0,0,0,0,27,73,0,0,0,18,18,64,0,0,9,9,18,55,9,0,0,0,9,91,0,0,10,10,20,30,30
"Anzaldo,LeesaB",MATH109-MathematicalReasoning(B),S219,42,14,91.7%,100.0%,7.67,B+(3.58),B(3.09),7,21,57,14,0,0,0,83,0,0,8,8,67,25,8,0,0,0,0,0,8,8,33,50,0,0,17,17,25,0,25,8,8,0,0,0,0,8,92,0,0,17,42,42,0,0,0,0,50,50,0,0,0,17,33,42,8,17,0,17,50,17,0,0,0,0,58,42,0,92,8,0,0,0,27,73,0,0,0,0,27,73,0,0,0,0,45,55,0,0,0,9,36,55,0,0,0,18,45,36,0,0,0,0,45,55,0,0,0,0,55,45,0,0,0,0,36,64,0,0,0,0,55,36,9,0,0,0,27,73,0,0,0,0,45,45,9,0,0,0,55,36,9,100,0,0,0,9,27,64,0,0,0,9,18,73,0,0,0,18,27,55,0,0,0,9,18,73,0,0,0,27,27,9,36
"Bowers,AdamR.",MATH10B-CalculusII(A),S219,63,18,77.8%,83.3%,8.28,B-(2.83),D(1.23),44,28,22,6,0,0,0,61,0,33,0,6,33,22,39,6,0,0,0,6,11,0,50,33,0,0,11,39,0,17,6,17,0,0,6,6,0,6,94,0,17,17,50,17,0,0,6,6,44,44,0,0,11,17,44,11,17,0,6,28,33,33,0,6,11,11,44,28,0,78,22,0,6,6,39,50,0,0,6,6,39,50,0,0,6,6,44,44,0,6,0,22,28,44,0,6,17,17,39,22,0,0,0,11,61,28,0,6,6,11,39,39,0,6,0,11,44,39,0,0,0,6,61,33,0,0,0,6,39,56,0,0,0,11,61,28,0,0,6,11,50,33,0,83,17,0,0,22,39,39,0,0,0,11,56,33,0,11,6,17,44,22,0,0,6,22,39,33,0,6,0,6,50,22,17
