Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived,class_level_Freshman,class_level_Sophomore,class_level_Junior,class_level_Senior,class_level_Graduate,class_level_Extension,class_level_Visitor,reason_taking_class_Major,reason_taking_class_Minor,reason_taking_class_Gen_Ed,reason_taking_class_Elective,reason_taking_class_Interest,grade_expect_class_A,grade_expect_class_B,grade_expect_class_C,grade_expect_class_D,grade_expect_class_F,grade_expect_class_P,grade_expect_class_NP,learned_great_deal_course_Strongly_Disagree,learned_great_deal_course_Disagree,learned_great_deal_course_Neither_Agree_nor_Disagree,learned_great_deal_course_Agree,learned_great_deal_course_Strongly_Agree,learned_great_deal_course_Not_Applicable,many_hours_week_spend_studying_outside_class_average_01,many_hours_week_spend_studying_outside_class_average_23,many_hours_week_spend_studying_outside_class_average_45,many_hours_week_spend_studying_outside_class_average_67,many_hours_week_spend_studying_outside_class_average_89,many_hours_week_spend_studying_outside_class_average_1011,many_hours_week_spend_studying_outside_class_average_1213,many_hours_week_spend_studying_outside_class_average_1415,many_hours_week_spend_studying_outside_class_average_1617,many_hours_week_spend_studying_outside_class_average_1819,many_hours_week_spend_studying_outside_class_average_20_or_more,often_attend_course_Very_Rarely,often_attend_course_Some_of_the_Time,often_attend_course_Most_of_the_Time,course_material_intellectually_stimulating_Strongly_Disagree,course_material_intellectually_stimulating_Disagree,course_material_intellectually_stimulating_Neither_Agree_nor_Disagree,course_material_intellectually_stimulating_Agree,course_material_intellectually_stimulating_Strongly_Agree,course_material_intellectually_stimulating_Not_Applicable,assignments_promote_learning_Strongly_Disagree,assignments_promote_learning_Disagree,assignments_promote_learning_Neither_Agree_nor_Disagree,assignments_promote_learning_Agree,assignments_promote_learning_Strongly_Agree,assignments_promote_learning_Not_Applicable,required_reading_useful_Strongly_Disagree,required_reading_useful_Disagree,required_reading_useful_Neither_Agree_nor_Disagree,required_reading_useful_Agree,required_reading_useful_Strongly_Agree,required_reading_useful_Not_Applicable,course_difficult_relative_others_Strongly_Disagree,course_difficult_relative_others_Disagree,course_difficult_relative_others_Neither_Agree_nor_Disagree,course_difficult_relative_others_Agree,course_difficult_relative_others_Strongly_Agree,course_difficult_relative_others_Not_Applicable,exams_representative_course_material_Strongly_Disagree,exams_representative_course_material_Disagree,exams_representative_course_material_Neither_Agree_nor_Disagree,exams_representative_course_material_Agree,exams_representative_course_material_Strongly_Agree,exams_representative_course_material_Not_Applicable,recommend_course_overall_Yes,recommend_course_overall_No,instructor_displays_proficient_command_material_Strongly_Disagree,instructor_displays_proficient_command_material_Disagree,instructor_displays_proficient_command_material_Neither_Agree_nor_Disagree,instructor_displays_proficient_command_material_Agree,instructor_displays_proficient_command_material_Strongly_Agree,instructor_displays_proficient_command_material_Not_Applicable,instructor_well_prepared_classes_Strongly_Disagree,instructor_well_prepared_classes_Disagree,instructor_well_prepared_classes_Neither_Agree_nor_Disagree,instructor_well_prepared_classes_Agree,instructor_well_prepared_classes_Strongly_Agree,instructor_well_prepared_classes_Not_Applicable,instructors_speech_clear_audible_Strongly_Disagree,instructors_speech_clear_audible_Disagree,instructors_speech_clear_audible_Neither_Agree_nor_Disagree,instructors_speech_clear_audible_Agree,instructors_speech_clear_audible_Strongly_Agree,instructors_speech_clear_audible_Not_Applicable,instructor_explains_course_material_well_Strongly_Disagree,instructor_explains_course_material_well_Disagree,instructor_explains_course_material_well_Neither_Agree_nor_Disagree,instructor_explains_course_material_well_Agree,instructor_explains_course_material_well_Strongly_Agree,instructor_explains_course_material_well_Not_Applicable,lectures_hold_attention_Strongly_Disagree,lectures_hold_attention_Disagree,lectures_hold_attention_Neither_Agree_nor_Disagree,lectures_hold_attention_Agree,lectures_hold_attention_Strongly_Agree,lectures_hold_attention_Not_Applicable,instructor’s_lecture_style_facilitates_notetaking_Strongly_Disagree,instructor’s_lecture_style_facilitates_notetaking_Disagree,instructor’s_lecture_style_facilitates_notetaking_Neither_Agree_nor_Disagree,instructor’s_lecture_style_facilitates_notetaking_Agree,instructor’s_lecture_style_facilitates_notetaking_Strongly_Agree,instructor’s_lecture_style_facilitates_notetaking_Not_Applicable,instructor_shows_concern_students_learning_Strongly_Disagree,instructor_shows_concern_students_learning_Disagree,instructor_shows_concern_students_learning_Neither_Agree_nor_Disagree,instructor_shows_concern_students_learning_Agree,instructor_shows_concern_students_learning_Strongly_Agree,instructor_shows_concern_students_learning_Not_Applicable,instructor_promotes_appropriate_questionsdiscussion_Strongly_Disagree,instructor_promotes_appropriate_questionsdiscussion_Disagree,instructor_promotes_appropriate_questionsdiscussion_Neither_Agree_nor_Disagree,instructor_promotes_appropriate_questionsdiscussion_Agree,instructor_promotes_appropriate_questionsdiscussion_Strongly_Agree,instructor_promotes_appropriate_questionsdiscussion_Not_Applicable,instructor_accessible_outside_class_Strongly_Disagree,instructor_accessible_outside_class_Disagree,instructor_accessible_outside_class_Neither_Agree_nor_Disagree,instructor_accessible_outside_class_Agree,instructor_accessible_outside_class_Strongly_Agree,instructor_accessible_outside_class_Not_Applicable,instructor_starts_finishes_class_time_Strongly_Disagree,instructor_starts_finishes_class_time_Disagree,instructor_starts_finishes_class_time_Neither_Agree_nor_Disagree,instructor_starts_finishes_class_time_Agree,instructor_starts_finishes_class_time_Strongly_Agree,instructor_starts_finishes_class_time_Not_Applicable,instructor_effective_promoting_academic_integrity_Strongly_Disagree,instructor_effective_promoting_academic_integrity_Disagree,instructor_effective_promoting_academic_integrity_Neither_Agree_nor_Disagree,instructor_effective_promoting_academic_integrity_Agree,instructor_effective_promoting_academic_integrity_Strongly_Agree,instructor_effective_promoting_academic_integrity_Not_Applicable,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Neither_Agree_nor_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Not_Applicable,recommend_professor_overall_Yes,recommend_professor_overall_No,ta_support_providing_feedback_addressing_questionsconcerns_helpful_Strongly_Disagree,ta_support_providing_feedback_addressing_questionsconcerns_helpful_Disagree,ta_support_providing_feedback_addressing_questionsconcerns_helpful_Neither_Agree_nor_Disagree,ta_support_providing_feedback_addressing_questionsconcerns_helpful_Agree,ta_support_providing_feedback_addressing_questionsconcerns_helpful_Strongly_Agree,ta_support_providing_feedback_addressing_questionsconcerns_helpful_Not_Applicable,instructor_support_providing_feedback_addressing_questionsconcerns_helpful_Strongly_Disagree,instructor_support_providing_feedback_addressing_questionsconcerns_helpful_Disagree,instructor_support_providing_feedback_addressing_questionsconcerns_helpful_Neither_Agree_nor_Disagree,instructor_support_providing_feedback_addressing_questionsconcerns_helpful_Agree,instructor_support_providing_feedback_addressing_questionsconcerns_helpful_Strongly_Agree,instructor_support_providing_feedback_addressing_questionsconcerns_helpful_Not_Applicable,guest_lecturer_presentations_helpful_Strongly_Disagree,guest_lecturer_presentations_helpful_Disagree,guest_lecturer_presentations_helpful_Neither_Agree_nor_Disagree,guest_lecturer_presentations_helpful_Agree,guest_lecturer_presentations_helpful_Strongly_Agree,guest_lecturer_presentations_helpful_Not_Applicable,behavior_change_project_assignment_helpful_Strongly_Disagree,behavior_change_project_assignment_helpful_Disagree,behavior_change_project_assignment_helpful_Neither_Agree_nor_Disagree,behavior_change_project_assignment_helpful_Agree,behavior_change_project_assignment_helpful_Strongly_Agree,behavior_change_project_assignment_helpful_Not_Applicable,working_teams_behavior_change_project_assignment_helpful_Strongly_Disagree,working_teams_behavior_change_project_assignment_helpful_Disagree,working_teams_behavior_change_project_assignment_helpful_Neither_Agree_nor_Disagree,working_teams_behavior_change_project_assignment_helpful_Agree,working_teams_behavior_change_project_assignment_helpful_Strongly_Agree,working_teams_behavior_change_project_assignment_helpful_Not_Applicable
"Suarez,JoseR",FPMU101-Epidemiology(A),SP17,66,61,89.8%,86.4%,5.82,B+(3.30),B-(2.81),0,10,58,32,0,0,0,96,0,2,0,2,39,54,5,2,0,0,0,2,2,15,38,44,0,3,12,41,24,7,8,3,2,0,0,0,0,2,98,0,5,9,41,45,0,2,7,3,41,47,0,2,9,14,43,33,0,0,14,20,41,25,0,2,3,5,46,42,2,90,10,2,3,3,32,59,0,2,0,3,34,61,0,0,0,5,36,59,0,5,3,8,34,49,0,5,10,8,37,39,0,0,8,7,37,47,0,0,5,3,34,58,0,2,2,5,35,56,0,0,2,2,44,51,2,0,0,3,41,56,0,0,0,2,39,59,0,0,3,3,44,47,2,86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tu,Xin",FPMU102-BiostatisticsinPublicHealth(A),SP17,62,50,90.0%,84.0%,6.38,B+(3.65),A-(3.72),0,2,50,48,0,0,0,100,0,0,0,0,67,31,2,0,0,0,0,2,4,19,53,21,0,4,21,33,10,6,15,2,4,2,2,0,0,8,92,0,10,38,30,22,0,0,0,10,44,46,0,4,12,24,32,24,4,2,6,22,48,20,2,0,0,4,40,56,0,90,10,0,2,12,54,32,0,0,6,24,38,32,0,4,18,22,32,24,0,4,8,30,32,26,0,2,16,24,32,26,0,2,6,16,42,34,0,0,2,4,32,62,0,0,0,16,46,38,0,0,0,4,44,50,2,0,0,4,48,48,0,0,0,12,48,40,0,0,4,14,44,38,0,84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong,Suzi",FPMU110-HealthBehavior&ChronicDis(A),SP17,68,66,89.4%,93.9%,4.28,B+(3.33),B(3.23),0,8,74,18,0,0,0,100,0,0,0,0,39,55,6,0,0,0,0,3,8,10,41,34,3,14,31,25,22,3,5,2,0,0,0,0,0,2,98,2,9,8,39,42,0,0,2,12,36,48,2,5,11,26,36,23,0,2,17,25,31,26,0,0,5,11,45,39,0,89,11,0,0,5,35,61,0,0,2,2,30,67,0,0,0,3,33,64,0,0,0,8,44,48,0,0,6,14,41,39,0,0,3,6,30,61,0,0,2,3,30,65,0,0,0,3,35,62,0,0,3,8,36,50,3,0,0,3,36,61,0,0,2,2,39,58,0,0,0,2,41,58,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shi,Yuyan",FPMU120-HealthPoliciesHealthyLfesty(A),SP17,65,60,89.8%,89.8%,4.43,B+(3.54),B(3.29),0,2,15,83,0,0,0,98,0,2,0,0,56,42,2,0,0,0,0,0,2,18,49,32,0,10,29,38,10,7,3,0,0,0,2,0,0,3,97,0,7,9,59,26,0,0,3,3,48,45,0,0,16,7,40,36,2,2,16,33,33,16,0,0,0,25,30,25,21,90,10,0,0,0,50,50,0,0,0,0,43,57,0,2,7,10,48,33,0,0,2,7,53,38,0,0,14,17,47,22,0,2,5,16,43,34,0,0,3,0,47,50,0,0,0,9,52,40,0,0,0,10,43,38,9,0,0,0,48,52,0,0,2,2,47,50,0,2,5,10,41,40,2,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ryan,MargaretAngelaKapp",FPMU130-Environment&OccuptionHealth(A),SP17,49,47,91.5%,95.7%,4.46,B+(3.50),B+(3.49),0,0,21,79,0,0,0,98,0,2,0,0,52,46,2,0,0,0,0,0,2,7,41,50,0,7,30,37,15,7,4,0,0,0,0,0,2,2,96,0,2,13,35,50,0,0,0,4,46,50,0,0,13,26,30,30,0,2,20,28,28,22,0,2,0,4,41,52,0,91,9,0,0,2,23,74,0,0,0,2,23,74,0,0,0,2,19,79,0,0,0,2,23,74,0,0,7,7,30,57,0,0,0,6,32,62,0,0,0,2,22,76,0,0,0,2,35,63,0,0,0,2,30,65,2,0,0,7,26,67,0,0,0,4,30,65,0,0,0,9,24,64,2,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benmarhnia,Tarik",FPMU130-Environment&OccuptionHealth(B),SP17,50,42,73.8%,50.0%,5.31,B(3.21),B(3.21),0,0,12,88,0,0,0,98,0,0,2,0,36,50,14,0,0,0,0,5,10,22,45,18,0,5,26,31,19,12,5,0,0,0,0,2,0,7,93,5,17,14,45,19,0,5,10,5,49,32,0,17,10,33,24,17,0,2,14,19,45,19,0,21,21,14,26,17,0,74,26,2,7,5,64,21,0,2,2,17,55,24,0,31,36,17,12,5,0,7,24,26,36,7,0,21,24,19,26,10,0,2,17,24,45,12,0,5,5,19,52,19,0,5,7,15,59,15,0,7,2,26,50,10,5,2,7,14,52,24,0,5,5,14,55,21,0,5,5,17,44,29,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanos,JenniferK.",FPMU130-Environment&OccuptionHealth(B),SP17,50,43,74.4%,90.7%,5.24,B(3.21),B(3.21),0,0,12,88,0,0,0,98,0,0,2,0,35,51,14,0,0,0,0,2,10,22,44,20,2,5,28,30,19,12,5,0,0,0,0,2,0,7,93,2,16,16,44,21,0,2,14,2,48,33,0,16,7,33,26,19,0,0,12,21,44,21,2,19,21,16,26,19,0,74,26,0,5,2,47,47,0,0,2,5,48,45,0,0,5,0,53,42,0,0,5,7,51,37,0,0,14,16,44,26,0,0,5,19,48,29,0,0,2,17,48,33,0,0,2,17,50,31,0,0,2,14,52,31,0,0,0,12,52,36,0,0,2,17,48,33,0,0,0,15,46,39,0,91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aldelaimy,Wael",FPMU101-Epidemiology(A),WI17,57,52,72.0%,34.0%,6.01,B-(2.71),C+(2.36),0,0,52,48,0,0,0,94,2,0,0,4,8,54,36,0,0,2,0,8,10,15,46,19,2,0,12,43,20,14,4,4,2,0,0,0,2,0,98,2,16,16,42,24,0,8,8,10,52,22,0,8,6,12,40,34,0,4,2,6,38,50,0,16,28,18,26,12,0,72,28,6,12,10,48,24,0,4,6,10,58,22,0,12,14,14,44,16,0,24,24,24,18,10,0,14,26,20,30,10,0,12,16,26,32,14,0,16,14,14,36,20,0,8,10,24,40,18,0,2,8,20,50,18,2,2,2,12,54,30,0,2,8,8,55,27,0,12,10,22,38,16,2,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaida,Florin",FPMU102-BiostatisticsinPublicHealth(A),WI17,51,48,93.8%,93.8%,5.44,B(3.15),B+(3.57),0,0,38,60,2,0,0,98,0,0,0,2,34,45,19,0,0,2,0,0,7,16,30,45,2,0,28,36,17,13,0,2,2,2,0,0,0,4,96,4,6,19,32,38,0,4,0,9,34,53,0,6,17,26,23,17,11,4,11,21,32,32,0,2,0,7,49,42,0,94,6,2,0,6,38,53,0,2,0,4,38,55,0,2,0,13,37,48,0,2,6,17,36,38,0,6,15,21,30,28,0,2,13,15,34,36,0,2,2,20,33,43,0,2,2,15,38,43,0,2,2,17,36,40,2,2,2,6,40,49,0,2,0,9,40,49,0,0,2,9,35,48,7,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaida,Florin",FPMU102-BiostatisticsinPublicHealth(B),WI17,55,51,96.1%,96.1%,6.00,B+(3.55),B+(3.57),0,2,43,55,0,0,0,96,0,0,2,2,59,37,4,0,0,0,0,0,0,9,50,41,0,4,12,38,17,19,6,2,0,0,2,0,0,6,94,0,4,18,39,39,0,0,2,2,35,61,0,2,6,39,18,18,16,0,10,27,43,16,4,0,0,4,47,49,0,96,4,0,2,4,33,61,0,0,0,4,22,73,0,0,2,6,41,51,0,0,6,10,41,43,0,2,8,22,31,37,0,4,0,15,42,40,0,0,0,10,39,51,0,0,2,20,33,45,0,0,0,10,39,47,4,0,0,4,39,57,0,0,0,13,36,51,0,0,2,14,33,51,0,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
